{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 1, 'I': 1, 'P': 1, 'id': 0}, 'value': 90.0, 'duration': 5.6332, 'info': None}
{'case': {'C': 2, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 1}, 'value': 2604.0, 'duration': 4.8834, 'info': None}
{'case': {'C': 5, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 2}, 'value': 2300.0, 'duration': 5.8554, 'info': None}
{'case': {'C': 5, 'U': 200, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 3}, 'value': 15048.0, 'duration': 16.581, 'info': None}
{'case': {'C': 5, 'U': 500, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 4}, 'value': 41650.0, 'duration': 82.4315, 'info': None}
{'case': {'C': 5, 'U': 700, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 5}, 'value': 195700.0, 'duration': 132.40220000000002, 'info': None}
{'case': {'C': 5, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 6}, 'value': 74664.0, 'duration': 354.411, 'info': None}
{'case': {'C': 10, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 7}, 'value': 270520.0, 'duration': 319.642, 'info': None}
{'case': {'C': 10, 'U': 2000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 8}, 'value': 705516.0, 'duration': 1292.1720000000003, 'info': None}
{'case': {'C': 10, 'U': 3000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 9}, 'value': 1672862.0, 'duration': 2252.6189999999992, 'info': None}
{'case': {'C': 10, 'U': 4000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 10}, 'value': 1161046.0, 'duration': 4567.292, 'info': None}
{'case': {'C': 10, 'U': 5000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 11}, 'value': 1982340.0, 'duration': 6524.850000000004, 'info': None}
{'case': {'C': 10, 'U': 10000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 12}, 'value': 4244663.0, 'duration': 24961.730000000054, 'info': None}
{'case': {'C': 10, 'U': 15000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 13}, 'value': 6378160.0, 'duration': 52909.52999999998, 'info': None}
{'case': {'C': 10, 'U': 20000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 14}, 'value': 4565882.0, 'duration': 103930.07999999978, 'info': None}
{'case': {'C': 10, 'U': 25000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 15}, 'value': 14814516.0, 'duration': 141780.69999999978, 'info': None}
{'case': {'C': 10, 'U': 30000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 16}, 'value': 11077403.0, 'duration': 196606.58999999924, 'info': None}
{'case': {'C': 10, 'U': 35000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 17}, 'value': 14255256.0, 'duration': 269433.36000000057, 'info': None}



{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 1, 'I': 1, 'P': 1, 'id': 0}, 'value': 0.0, 'duration': 4.3907, 'info': None}
{'case': {'C': 2, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 1}, 'value': 2604.0, 'duration': 4.8437, 'info': None}
{'case': {'C': 5, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 2}, 'value': 2300.0, 'duration': 6.0625, 'info': None}
{'case': {'C': 5, 'U': 200, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 3}, 'value': 7524.0, 'duration': 6.9844, 'info': None}
{'case': {'C': 5, 'U': 500, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 4}, 'value': 8330.0, 'duration': 14.906, 'info': None}
{'case': {'C': 5, 'U': 700, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 5}, 'value': 33950.0, 'duration': 20.4326, 'info': None}
{'case': {'C': 5, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 6}, 'value': 20090.0, 'duration': 23.8403, 'info': None}
{'case': {'C': 10, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 7}, 'value': 31200.0, 'duration': 39.2454, 'info': None}
{'case': {'C': 10, 'U': 2000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 8}, 'value': 54120.0, 'duration': 77.9446, 'info': None}
{'case': {'C': 10, 'U': 3000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 9}, 'value': 120540.0, 'duration': 116.1381, 'info': None}
{'case': {'C': 10, 'U': 4000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 10}, 'value': 170720.0, 'duration': 182.7534, 'info': None}
{'case': {'C': 10, 'U': 5000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 11}, 'value': 134550.0, 'duration': 196.2687, 'info': None}
{'case': {'C': 10, 'U': 10000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 12}, 'value': 639200.0, 'duration': 417.6206, 'info': None}
{'case': {'C': 10, 'U': 15000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 13}, 'value': 1692000.0, 'duration': 977.1912, 'info': None}
{'case': {'C': 10, 'U': 20000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 14}, 'value': 1926400.0, 'duration': 1353.5116, 'info': None}
{'case': {'C': 10, 'U': 25000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 15}, 'value': 4850000.0, 'duration': 1848.5480000000002, 'info': None}
{'case': {'C': 10, 'U': 30000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 16}, 'value': 4633200.0, 'duration': 2794.8708, 'info': None}
{'case': {'C': 10, 'U': 35000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 17}, 'value': 6730150.0, 'duration': 4362.414699999999, 'info': None}
