{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 1, 'I': 1, 'P': 1, 'id': 0}, 'value': 450, 'duration': 1.8289, 'info': {'direct_msg': 5, 'total_edges': 0}}
{'case': {'C': 2, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 1}, 'value': 4067, 'duration': 0.0018, 'info': {'direct_msg': 1260, 'total_edges': 0}}
{'case': {'C': 5, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 2}, 'value': 3290, 'duration': 0.0029, 'info': {'direct_msg': 1220, 'total_edges': 0}}
{'case': {'C': 5, 'U': 200, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 3}, 'value': 13002, 'duration': 0.0092, 'info': {'direct_msg': 2600, 'total_edges': 6}}
{'case': {'C': 5, 'U': 500, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 4}, 'value': 12580, 'duration': 0.0714, 'info': {'direct_msg': 5950, 'total_edges': 34}}
{'case': {'C': 5, 'U': 700, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 5}, 'value': 46255, 'duration': 0.1413, 'info': {'direct_msg': 8258, 'total_edges': 72}}
{'case': {'C': 5, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 6}, 'value': 22664, 'duration': 0.2831, 'info': {'direct_msg': 11900, 'total_edges': 138}}
{'case': {'C': 10, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 7}, 'value': 49660, 'duration': 0.9149, 'info': {'direct_msg': 12000, 'total_edges': 138}}
{'case': {'C': 10, 'U': 2000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 8}, 'value': 111012, 'duration': 3.6092, 'info': {'direct_msg': 25400, 'total_edges': 558}}
{'case': {'C': 10, 'U': 3000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 9}, 'value': 268814, 'duration': 8.0415, 'info': {'direct_msg': 38100, 'total_edges': 1326}}
{'case': {'C': 10, 'U': 4000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 10}, 'value': 375584, 'duration': 14.3466, 'info': {'direct_msg': 49600, 'total_edges': 2398}}
{'case': {'C': 10, 'U': 5000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 11}, 'value': 354660, 'duration': 22.047, 'info': {'direct_msg': 64500, 'total_edges': 3762}}
{'case': {'C': 10, 'U': 10000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 12}, 'value': 861424, 'duration': 155.4485, 'info': {'direct_msg': 121000, 'total_edges': 14972}}
{'case': {'C': 10, 'U': 15000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 13}, 'value': 1589216, 'duration': 702.2562, 'info': {'direct_msg': 181500, 'total_edges': 33712}}
{'case': {'C': 10, 'U': 20000, 'H': 3, 'D': 7, 'I': 3, 'P': 3, 'id': 14}, 'value': 1744120, 'duration': 1490.3364, 'info': {'direct_msg': 250000, 'total_edges': 59762}}
