{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 3, 'I': 1, 'P': 1, 'id': 0}, 'value': 450, 'duration': 1.8772, 'info': {'direct_msg': 15, 'total_edges': 0}}
{'case': {'C': 2, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 1}, 'value': 4067, 'duration': 0.0016, 'info': {'direct_msg': 200, 'total_edges': 0}}
{'case': {'C': 5, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 2}, 'value': 2890, 'duration': 0.0017, 'info': {'direct_msg': 170, 'total_edges': 0}}
{'case': {'C': 5, 'U': 200, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 3}, 'value': 11782, 'duration': 0.0049, 'info': {'direct_msg': 360, 'total_edges': 6}}
{'case': {'C': 5, 'U': 500, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 4}, 'value': 10880, 'duration': 0.026, 'info': {'direct_msg': 850, 'total_edges': 34}}
{'case': {'C': 5, 'U': 700, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 5}, 'value': 41563, 'duration': 0.0509, 'info': {'direct_msg': 1190, 'total_edges': 72}}
{'case': {'C': 5, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 6}, 'value': 22664, 'duration': 0.1033, 'info': {'direct_msg': 2000, 'total_edges': 138}}
{'case': {'C': 10, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 7}, 'value': 34580, 'duration': 0.1532, 'info': {'direct_msg': 1500, 'total_edges': 138}}
{'case': {'C': 10, 'U': 2000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 8}, 'value': 111012, 'duration': 0.6085, 'info': {'direct_msg': 3800, 'total_edges': 558}}
{'case': {'C': 10, 'U': 3000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 9}, 'value': 268814, 'duration': 1.367, 'info': {'direct_msg': 6300, 'total_edges': 1326}}
{'case': {'C': 10, 'U': 4000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 10}, 'value': 335135, 'duration': 2.4307, 'info': {'direct_msg': 6400, 'total_edges': 2398}}
{'case': {'C': 10, 'U': 5000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 11}, 'value': 316572, 'duration': 3.8094, 'info': {'direct_msg': 8000, 'total_edges': 3762}}
{'case': {'C': 10, 'U': 10000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 12}, 'value': 861424, 'duration': 15.5369, 'info': {'direct_msg': 19000, 'total_edges': 14972}}
{'case': {'C': 10, 'U': 15000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 13}, 'value': 1589216, 'duration': 35.6563, 'info': {'direct_msg': 28500, 'total_edges': 33712}}
{'case': {'C': 10, 'U': 20000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 14}, 'value': 1744120, 'duration': 66.4418, 'info': {'direct_msg': 38000, 'total_edges': 59762}}
{'case': {'C': 10, 'U': 25000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 15}, 'value': 4006876, 'duration': 109.1523, 'info': {'direct_msg': 45000, 'total_edges': 93820}}
{'case': {'C': 10, 'U': 30000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 16}, 'value': 3413256, 'duration': 163.1554, 'info': {'direct_msg': 57000, 'total_edges': 135168}}
{'case': {'C': 10, 'U': 35000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 17}, 'value': 4158958, 'duration': 231.9847, 'info': {'direct_msg': 70000, 'total_edges': 183864}}
{'case': {'C': 10, 'U': 40000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 18}, 'value': 5318050, 'duration': 316.4643, 'info': {'direct_msg': 76000, 'total_edges': 240092}}
{'case': {'C': 10, 'U': 45000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 19}, 'value': 6411790, 'duration': 415.7529, 'info': {'direct_msg': 76499, 'total_edges': 303798}}
{'case': {'C': 10, 'U': 50000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 20}, 'value': 4882904, 'duration': 530.8644, 'info': {'direct_msg': 100000, 'total_edges': 374516}}
{'case': {'C': 10, 'U': 55000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 21}, 'value': 2236632, 'duration': 672.8476, 'info': {'direct_msg': 82500, 'total_edges': 452378}}
{'case': {'C': 10, 'U': 60000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 22}, 'value': 5640047, 'duration': 838.0386, 'info': {'direct_msg': 120000, 'total_edges': 538718}}
