{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 3, 'I': 1, 'P': 1, 'id': 0}, 'value': 0, 'duration': 0.3835, 'info': {'direct_msg': 0, 'total_edges': 0}}
{'case': {'C': 2, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 1}, 'value': 0, 'duration': 0.0013, 'info': {'direct_msg': 0, 'total_edges': 0}}
{'case': {'C': 5, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 2}, 'value': 0, 'duration': 0.0251, 'info': {'direct_msg': 0, 'total_edges': 0}}
{'case': {'C': 5, 'U': 200, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 3}, 'value': 0, 'duration': 0.0041, 'info': {'direct_msg': 0, 'total_edges': 0}}
{'case': {'C': 5, 'U': 500, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 4}, 'value': 0, 'duration': 0.0217, 'info': {'direct_msg': 0, 'total_edges': 2}}
{'case': {'C': 5, 'U': 700, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 5}, 'value': 0, 'duration': 0.0411, 'info': {'direct_msg': 0, 'total_edges': 4}}
{'case': {'C': 5, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 6}, 'value': 0, 'duration': 0.0833, 'info': {'direct_msg': 0, 'total_edges': 12}}
{'case': {'C': 10, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 7}, 'value': 0, 'duration': 0.0858, 'info': {'direct_msg': 0, 'total_edges': 12}}
{'case': {'C': 10, 'U': 2000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 8}, 'value': 0, 'duration': 0.3348, 'info': {'direct_msg': 0, 'total_edges': 56}}
{'case': {'C': 10, 'U': 3000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 9}, 'value': 0, 'duration': 0.7471, 'info': {'direct_msg': 0, 'total_edges': 122}}
{'case': {'C': 10, 'U': 4000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 10}, 'value': 0, 'duration': 1.3176, 'info': {'direct_msg': 0, 'total_edges': 244}}
{'case': {'C': 10, 'U': 5000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 11}, 'value': 0, 'duration': 2.0559, 'info': {'direct_msg': 0, 'total_edges': 392}}
{'case': {'C': 10, 'U': 10000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 12}, 'value': 0, 'duration': 8.2655, 'info': {'direct_msg': 0, 'total_edges': 1606}}
{'case': {'C': 10, 'U': 15000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 13}, 'value': 0, 'duration': 18.6066, 'info': {'direct_msg': 0, 'total_edges': 3548}}
{'case': {'C': 10, 'U': 20000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 14}, 'value': 0, 'duration': 33.7359, 'info': {'direct_msg': 0, 'total_edges': 6100}}
{'case': {'C': 10, 'U': 25000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 15}, 'value': 0, 'duration': 55.9999, 'info': {'direct_msg': 0, 'total_edges': 9472}}
{'case': {'C': 10, 'U': 30000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 16}, 'value': 0, 'duration': 84.7911, 'info': {'direct_msg': 0, 'total_edges': 13646}}
{'case': {'C': 10, 'U': 35000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 17}, 'value': 0, 'duration': 121.1118, 'info': {'direct_msg': 0, 'total_edges': 18388}}
{'case': {'C': 10, 'U': 40000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 18}, 'value': 0, 'duration': 165.6039, 'info': {'direct_msg': 0, 'total_edges': 23990}}
{'case': {'C': 10, 'U': 45000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 19}, 'value': 0, 'duration': 48.9969, 'info': {'direct_msg': 0, 'total_edges': 30476}}
{'case': {'C': 10, 'U': 50000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 20}, 'value': 0, 'duration': 61.0396, 'info': {'direct_msg': 0, 'total_edges': 37502}}
{'case': {'C': 10, 'U': 55000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 21}, 'value': 0, 'duration': 74.0286, 'info': {'direct_msg': 0, 'total_edges': 44992}}
{'case': {'C': 10, 'U': 60000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 22}, 'value': 0, 'duration': 88.9343, 'info': {'direct_msg': 0, 'total_edges': 53644}}
