{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 3, 'I': 1, 'P': 1, 'id': 0}, 'value': 450, 'duration': 1.8602, 'info': {'direct_msg': 15, 'total_edges': 0}}
{'case': {'C': 2, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 1}, 'value': 4067, 'duration': 0.0028, 'info': {'direct_msg': 200, 'total_edges': 0}}
{'case': {'C': 5, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 2}, 'value': 2890, 'duration': 0.003, 'info': {'direct_msg': 170, 'total_edges': 0}}
{'case': {'C': 5, 'U': 200, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 3}, 'value': 11782, 'duration': 0.0091, 'info': {'direct_msg': 360, 'total_edges': 6}}
{'case': {'C': 5, 'U': 500, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 4}, 'value': 10880, 'duration': 0.051, 'info': {'direct_msg': 850, 'total_edges': 34}}
{'case': {'C': 5, 'U': 700, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 5}, 'value': 41495, 'duration': 0.0975, 'info': {'direct_msg': 1190, 'total_edges': 72}}
{'case': {'C': 5, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 6}, 'value': 22678, 'duration': 0.1972, 'info': {'direct_msg': 2000, 'total_edges': 138}}
{'case': {'C': 10, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 7}, 'value': 34775, 'duration': 0.2488, 'info': {'direct_msg': 1500, 'total_edges': 138}}
{'case': {'C': 10, 'U': 2000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 8}, 'value': 111078, 'duration': 0.9786, 'info': {'direct_msg': 3800, 'total_edges': 558}}
{'case': {'C': 10, 'U': 3000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 9}, 'value': 268520, 'duration': 2.1884, 'info': {'direct_msg': 6300, 'total_edges': 1326}}
{'case': {'C': 10, 'U': 4000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 10}, 'value': 334359, 'duration': 3.8827, 'info': {'direct_msg': 6400, 'total_edges': 2398}}
{'case': {'C': 10, 'U': 5000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 11}, 'value': 315606, 'duration': 6.1314, 'info': {'direct_msg': 8000, 'total_edges': 3762}}
{'case': {'C': 10, 'U': 10000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 12}, 'value': 859044, 'duration': 25.1092, 'info': {'direct_msg': 19000, 'total_edges': 14972}}
{'case': {'C': 10, 'U': 15000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 13}, 'value': 1583008, 'duration': 57.414, 'info': {'direct_msg': 28500, 'total_edges': 33712}}
{'case': {'C': 10, 'U': 20000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 14}, 'value': 1740592, 'duration': 104.968, 'info': {'direct_msg': 38000, 'total_edges': 59762}}
{'case': {'C': 10, 'U': 25000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 15}, 'value': 3997952, 'duration': 168.0476, 'info': {'direct_msg': 45000, 'total_edges': 93820}}
{'case': {'C': 10, 'U': 30000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 16}, 'value': 3409560, 'duration': 253.591, 'info': {'direct_msg': 57000, 'total_edges': 135168}}
{'case': {'C': 10, 'U': 35000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 17}, 'value': 4153799, 'duration': 357.7631, 'info': {'direct_msg': 70000, 'total_edges': 183864}}
{'case': {'C': 10, 'U': 40000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 18}, 'value': 5314619, 'duration': 496.7106, 'info': {'direct_msg': 76000, 'total_edges': 240092}}
{'case': {'C': 10, 'U': 45000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 19}, 'value': 6411251, 'duration': 653.1417, 'info': {'direct_msg': 76499, 'total_edges': 303798}}
{'case': {'C': 10, 'U': 50000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 20}, 'value': 4881240, 'duration': 860.1931, 'info': {'direct_msg': 100000, 'total_edges': 374516}}
