{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 3, 'I': 1, 'P': 1, 'id': 0}, 'value': 450, 'duration': 1.8464, 'info': {'direct_msg': 15, 'total_edges': 0}}
{'case': {'C': 2, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 1}, 'value': 4067, 'duration': 0.0307, 'info': {'direct_msg': 200, 'total_edges': 0}}
{'case': {'C': 5, 'U': 100, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 2}, 'value': 2890, 'duration': 0.0637, 'info': {'direct_msg': 170, 'total_edges': 0}}
{'case': {'C': 5, 'U': 200, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 3}, 'value': 11782, 'duration': 0.1019, 'info': {'direct_msg': 360, 'total_edges': 6}}
{'case': {'C': 5, 'U': 500, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 4}, 'value': 10880, 'duration': 0.3343, 'info': {'direct_msg': 850, 'total_edges': 34}}
{'case': {'C': 5, 'U': 700, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 5}, 'value': 41495, 'duration': 0.5745, 'info': {'direct_msg': 1190, 'total_edges': 72}}
{'case': {'C': 5, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 6}, 'value': 22657, 'duration': 1.1039, 'info': {'direct_msg': 2000, 'total_edges': 138}}
{'case': {'C': 10, 'U': 1000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 7}, 'value': 34450, 'duration': 2.2489, 'info': {'direct_msg': 1500, 'total_edges': 138}}
{'case': {'C': 10, 'U': 2000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 8}, 'value': 110352, 'duration': 8.7516, 'info': {'direct_msg': 3800, 'total_edges': 558}}
{'case': {'C': 10, 'U': 3000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 9}, 'value': 263032, 'duration': 20.1057, 'info': {'direct_msg': 6300, 'total_edges': 1326}}
{'case': {'C': 10, 'U': 4000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 10}, 'value': 330770, 'duration': 37.3332, 'info': {'direct_msg': 6400, 'total_edges': 2398}}
{'case': {'C': 10, 'U': 5000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 11}, 'value': 310362, 'duration': 60.3971, 'info': {'direct_msg': 8000, 'total_edges': 3762}}
{'case': {'C': 10, 'U': 10000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 12}, 'value': 822868, 'duration': 290.1417, 'info': {'direct_msg': 19000, 'total_edges': 14972}}
{'case': {'C': 10, 'U': 15000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 13}, 'value': 1510944, 'duration': 749.6457, 'info': {'direct_msg': 28500, 'total_edges': 33712}}
{'case': {'C': 10, 'U': 20000, 'H': 1, 'D': 3, 'I': 3, 'P': 3, 'id': 14}, 'value': 1654296, 'duration': 1540.3378, 'info': {'direct_msg': 38000, 'total_edges': 59762}}
