{'case': {'C': 1, 'U': 10, 'H': 1, 'D': 1, 'I': 1, 'P': 1}, 'phase': 1, 'value': 450, 'duration': 0, 'info': None}
{'case': {'C': 2, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 16170, 'duration': 0, 'info': None}
{'case': {'C': 5, 'U': 100, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 28852, 'duration': 0, 'info': None}
{'case': {'C': 5, 'U': 200, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 73941, 'duration': 0, 'info': None}
{'case': {'C': 5, 'U': 500, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 100492, 'duration': 0, 'info': None}
{'case': {'C': 5, 'U': 700, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 303615, 'duration': 0, 'info': None}
{'case': {'C': 5, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 102300, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 1000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 579620, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 2000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 1791372, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 3000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 2907214, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 4000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 2453118, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 5000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 3167070, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 10000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 9653852, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 15000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 12294688, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 20000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 12027904, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 25000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 27726931, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 30000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 21038044, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 35000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 31530150, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 40000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 39681399, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 45000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 32762006, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 50000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 20273458, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 55000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 22878924, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 60000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 25458460, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 65000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 23156440, 'duration': 0, 'info': None}
{'case': {'C': 10, 'U': 70000, 'H': 3, 'D': 7, 'I': 3, 'P': 3}, 'phase': 1, 'value': 60762941, 'duration': 0, 'info': None}
